Date,Site ID,Error,Combined_DateTime,3055-1,3055-10,3055-11,3055-12,3055-13,3055-14,3055-15,3055-16,3055-17,3055-18,3055-19,3055-2,3055-20,3055-3,3055-4,3055-5,3055-6,3055-7,3055-8,3055-9
8/03/2023,3055,False,2023-08-03 11:00:00,10,2,2,0,0,0,0,0,0,1,2,40,4,6,4,7,7,44,0,2
8/03/2023,3055,False,2023-08-03 11:05:00,8,2,0,2,0,0,0,0,1,0,0,30,2,8,6,6,6,36,1,0
8/03/2023,3055,False,2023-08-03 11:10:00,14,3,1,3,0,0,0,0,1,0,0,25,0,3,2,2,11,39,1,1
8/03/2023,3055,False,2023-08-03 11:15:00,7,0,1,0,0,0,0,0,0,0,0,43,4,8,9,8,9,37,1,1
8/03/2023,3055,False,2023-08-03 11:20:00,3,3,2,2,0,0,0,0,0,0,2,34,2,2,3,2,7,36,3,2
8/03/2023,3055,False,2023-08-03 11:25:00,9,5,3,3,0,0,0,0,0,1,2,36,1,0,7,5,4,46,0,3
8/03/2023,3055,False,2023-08-03 11:30:00,3,1,1,1,0,0,0,0,0,0,0,37,2,3,4,2,6,38,1,1
8/03/2023,3055,False,2023-08-03 11:35:00,9,1,1,3,0,0,0,0,0,0,1,42,1,4,7,6,7,52,1,1
8/03/2023,3055,False,2023-08-03 11:40:00,8,2,1,1,0,0,0,0,1,0,0,57,2,2,4,2,3,37,0,1
8/03/2023,3055,False,2023-08-03 11:45:00,8,3,0,3,0,0,0,0,0,1,0,32,4,4,3,7,7,31,2,0
8/03/2023,3055,False,2023-08-03 11:50:00,3,4,0,4,0,0,0,0,1,0,1,48,1,5,3,4,5,44,1,0
8/03/2023,3055,False,2023-08-03 11:55:00,11,6,2,7,0,0,0,0,1,0,0,40,3,7,2,6,10,36,0,3
8/03/2023,3055,False,2023-08-03 12:00:00,10,2,2,2,0,0,0,0,0,0,0,51,2,2,2,4,10,44,1,2
8/03/2023,3055,False,2023-08-03 12:05:00,7,4,5,3,0,0,0,0,2,1,2,28,2,5,5,5,13,42,3,4
8/03/2023,3055,False,2023-08-03 12:10:00,7,5,2,5,0,0,0,0,0,0,1,28,2,3,2,3,12,43,2,2
8/03/2023,3055,False,2023-08-03 12:15:00,7,2,0,2,0,0,0,0,1,0,0,31,3,2,3,5,8,49,1,0
8/03/2023,3055,False,2023-08-03 12:20:00,9,3,3,2,0,0,0,0,0,0,1,41,1,2,4,2,7,34,0,3
