Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 04:25:00,7,4,12,23,1,5,1,3,6,14,3,1,1,0,48,2,2,3,15,0,3,45,31,11
8/03/2023,2368,False,2023-08-03 04:30:00,6,5,18,14,0,8,0,2,3,17,2,2,0,0,40,2,0,6,17,0,3,27,28,11
8/03/2023,2368,False,2023-08-03 04:35:00,6,2,14,13,0,9,0,2,6,11,2,6,0,0,29,2,1,5,17,0,3,32,18,8
8/03/2023,2368,False,2023-08-03 04:40:00,8,4,18,14,0,1,0,6,5,10,4,6,0,0,30,5,3,9,17,0,3,38,13,9
8/03/2023,2368,False,2023-08-03 04:45:00,6,4,7,21,0,6,2,1,7,10,3,2,0,0,31,3,0,4,14,0,6,23,26,19
8/03/2023,2368,False,2023-08-03 04:50:00,8,5,11,5,0,3,0,2,3,6,4,3,0,0,25,1,0,5,19,0,6,31,19,7
8/03/2023,2368,False,2023-08-03 04:55:00,8,6,14,9,0,11,1,3,10,6,3,6,0,0,19,3,0,7,23,0,10,26,14,7
8/03/2023,2368,False,2023-08-03 05:00:00,1,4,18,8,0,7,0,2,5,9,2,3,0,0,41,1,0,6,21,0,16,40,20,13
8/03/2023,2368,False,2023-08-03 05:05:00,10,6,20,7,0,9,1,5,4,12,4,6,0,0,37,3,0,9,24,0,34,54,20,7
8/03/2023,2368,False,2023-08-03 05:10:00,8,5,13,6,1,27,0,8,6,7,2,12,0,0,49,5,1,5,20,0,14,75,20,9
8/03/2023,2368,False,2023-08-03 05:15:00,9,3,8,9,2,35,1,8,8,7,5,10,0,0,61,4,1,9,28,0,6,80,17,13
8/03/2023,2368,False,2023-08-03 05:20:00,3,2,21,9,0,3,1,5,8,9,4,12,0,0,50,4,0,7,34,0,6,79,27,11
8/03/2023,2368,False,2023-08-03 05:25:00,24,3,12,10,0,10,1,2,8,7,2,11,0,0,46,1,2,9,25,0,4,63,15,17
8/03/2023,2368,False,2023-08-03 05:30:00,15,6,17,9,0,5,0,7,9,9,1,17,0,0,17,3,0,7,31,0,2,33,23,22
8/03/2023,2368,False,2023-08-03 05:35:00,16,4,23,13,2,21,2,2,2,4,3,7,0,0,31,1,0,11,40,0,9,32,16,27
8/03/2023,2368,False,2023-08-03 05:40:00,17,3,16,10,1,34,2,7,8,5,2,14,0,0,41,2,0,13,40,0,8,54,26,25
8/03/2023,2368,False,2023-08-03 05:45:00,22,3,16,13,3,31,1,8,9,12,5,22,1,0,27,5,5,15,32,0,6,46,21,18
